date,state,positive
2020-03-06,NJ,4
2020-03-06,NH,2
2020-03-06,NC,2
2020-03-06,MN,1
2020-03-06,MI,140
2020-03-06,MD,3
2020-03-06,IN,1
2020-03-06,IL,5
2020-03-06,GA,2
2020-03-06,FL,8
2020-03-06,CO,8
2020-03-06,CA,60
2020-03-06,AZ,3
2020-03-07,WI,1
2020-03-07,WA,206
2020-03-07,UT,1
2020-03-07,TX,5
2020-03-07,TN,1
2020-03-07,SC,2
2020-03-07,RI,3
2020-03-07,PA,4
2020-03-07,OR,3
2020-03-07,OK,1
2020-03-07,NY,36
2020-03-07,NV,4
2020-03-07,NJ,4
2020-03-07,NH,2
2020-03-07,NE,1
2020-03-07,NC,2
2020-03-07,MN,2
2020-03-07,MI,188
2020-03-07,MD,3
2020-03-07,KY,1
2020-03-07,IN,1
2020-03-07,IL,6
2020-03-07,HI,1
2020-03-07,GA,6
2020-03-07,FL,8
2020-03-07,CO,8
2020-03-07,CA,69
2020-03-07,AZ,5
2020-03-08,WI,1
2020-03-08,WA,244
2020-03-08,VT,1
2020-03-08,VA,2
2020-03-08,UT,1
2020-03-08,TX,5
2020-03-08,TN,3
2020-03-08,SC,2
2020-03-08,RI,3
2020-03-08,PA,6
2020-03-08,OR,7
2020-03-08,OK,1
2020-03-08,NY,60
2020-03-08,NV,4
2020-03-08,NJ,6
2020-03-08,NH,4
2020-03-08,NE,1
2020-03-08,NC,2
2020-03-08,MO,1
2020-03-08,MN,2
2020-03-08,MI,251
2020-03-08,MD,3
2020-03-08,KY,1
2020-03-08,KS,1
2020-03-08,IN,2
2020-03-08,IL,6
2020-03-08,HI,1
2020-03-08,GA,7
2020-03-08,FL,12
2020-03-08,DC,1
2020-03-08,CT,1
2020-03-08,CO,9
2020-03-08,CA,88
2020-03-08,AZ,5
2020-03-09,WI,1
2020-03-09,WA,282
2020-03-09,VT,1
2020-03-09,VA,3
2020-03-09,UT,1
2020-03-09,TX,12
2020-03-09,TN,3
2020-03-09,SC,7
2020-03-09,RI,4
2020-03-09,PA,10
2020-03-09,OR,14
2020-03-09,OK,1
2020-03-09,OH,3
2020-03-09,NY,88
2020-03-09,NV,5
2020-03-09,NJ,15
2020-03-09,NH,4
2020-03-09,NE,3
2020-03-09,NC,2
2020-03-09,MO,1
2020-03-09,MN,5
2020-03-09,MI,372
2020-03-09,MD,5
2020-03-09,LA,1
2020-03-09,KY,4
2020-03-09,KS,1
2020-03-09,IN,2
2020-03-09,IL,7
2020-03-09,IA,3
2020-03-09,HI,2
2020-03-09,GA,12
2020-03-09,FL,13
2020-03-09,DC,1
2020-03-09,CT,1
2020-03-09,CO,12
2020-03-09,CA,114
2020-03-09,AZ,5
2020-03-10,WI,2
2020-03-10,WA,343
2020-03-10,VT,1
2020-03-10,VA,8
2020-03-10,UT,2
2020-03-10,TX,15
2020-03-10,TN,7
2020-03-10,SC,7
2020-03-10,RI,5
2020-03-10,PA,12
2020-03-10,OR,14
2020-03-10,OK,2
2020-03-10,OH,3
2020-03-10,NY,151
2020-03-10,NV,5
2020-03-10,NM,3
2020-03-10,NJ,16
2020-03-10,NH,4
2020-03-10,NE,3
2020-03-10,NC,7
2020-03-10,MO,1
2020-03-10,MN,11
2020-03-10,MI,528
2020-03-10,MD,6
2020-03-10,LA,1
2020-03-10,KY,6
2020-03-10,KS,1
2020-03-10,IN,6
2020-03-10,IL,19
2020-03-10,IA,8
2020-03-10,HI,2
2020-03-10,GA,17
2020-03-10,FL,18
2020-03-10,DC,5
2020-03-10,CT,2
2020-03-10,CO,28
2020-03-10,CA,133
2020-03-10,AZ,6
2020-03-11,WI,3
2020-03-11,WA,405
2020-03-11,VT,1
2020-03-11,VA,9
2020-03-11,UT,2
2020-03-11,TX,18
2020-03-11,TN,7
2020-03-11,SD,5
2020-03-11,SC,9
2020-03-11,RI,5
2020-03-11,PA,16
2020-03-11,OR,15
2020-03-11,OK,2
2020-03-11,OH,4
2020-03-11,NY,195
2020-03-11,NV,9
2020-03-11,NM,5
2020-03-11,NJ,23
2020-03-11,NH,4
2020-03-11,NE,5
2020-03-11,NC,7
2020-03-11,MO,1
2020-03-11,MN,21
2020-03-11,MI,727
2020-03-11,MD,9
2020-03-11,LA,6
2020-03-11,KY,8
2020-03-11,KS,1
2020-03-11,IN,10
2020-03-11,IL,19
2020-03-11,IA,13
2020-03-11,HI,2
2020-03-11,GA,22
2020-03-11,FL,20
2020-03-11,DE,1
2020-03-11,DC,5
2020-03-11,CT,3
2020-03-11,CO,45
2020-03-11,CA,157
2020-03-11,AZ,9
2020-03-12,WY,1
2020-03-12,WI,9
2020-03-12,WA,515
2020-03-12,VT,2
2020-03-12,VA,17
2020-03-12,UT,4
2020-03-12,TX,22
2020-03-12,TN,18
2020-03-12,SD,8
2020-03-12,SC,10
2020-03-12,RI,13
2020-03-12,PA,22
2020-03-12,OR,19
2020-03-12,OK,3
2020-03-12,OH,5
2020-03-12,NY,251
2020-03-12,NV,12
2020-03-12,NM,10
2020-03-12,NJ,32
2020-03-12,NH,6
2020-03-12,NE,10
2020-03-12,ND,1
2020-03-12,NC,12
2020-03-12,MT,1
2020-03-12,MS,1
2020-03-12,MO,1
2020-03-12,MN,43
2020-03-12,MI,997
2020-03-12,ME,1
2020-03-12,MD,12
2020-03-12,MA,8
2020-03-12,LA,14
2020-03-12,KY,8
2020-03-12,KS,4
2020-03-12,IN,12
2020-03-12,IL,25
2020-03-12,IA,14
2020-03-12,HI,2
2020-03-12,GA,31
2020-03-12,FL,26
2020-03-12,DE,4
2020-03-12,DC,10
2020-03-12,CT,6
2020-03-12,CO,72
2020-03-12,CA,202
2020-03-12,AZ,9
2020-03-12,AR,6
2020-03-13,WY,1
2020-03-13,WI,23
2020-03-13,WA,648
2020-03-13,VT,2
2020-03-13,VA,30
2020-03-13,UT,6
2020-03-13,TX,22
2020-03-13,TN,26
2020-03-13,SD,9
2020-03-13,SC,12
2020-03-13,RI,19
2020-03-13,PA,41
2020-03-13,OR,19
2020-03-13,OK,3
2020-03-13,OH,13
2020-03-13,NY,353
2020-03-13,NV,22
2020-03-13,NM,10
2020-03-13,NJ,57
2020-03-13,NH,6
2020-03-13,NE,13
2020-03-13,ND,1
2020-03-13,NC,15
2020-03-13,MT,1
2020-03-13,MS,4
2020-03-13,MO,2
2020-03-13,MN,62
2020-03-13,MI,1361
2020-03-13,ME,3
2020-03-13,MD,17
2020-03-13,MA,23
2020-03-13,LA,36
2020-03-13,KY,11
2020-03-13,KS,6
2020-03-13,IN,12
2020-03-13,IL,32
2020-03-13,IA,16
2020-03-13,HI,2
2020-03-13,GA,42
2020-03-13,FL,31
2020-03-13,DE,4
2020-03-13,DC,10
2020-03-13,CT,6
2020-03-13,CO,101
2020-03-13,CA,202
2020-03-13,AZ,9
2020-03-13,AR,9
2020-03-13,AL,1
2020-03-14,WY,2
2020-03-14,WI,23
2020-03-14,WA,827
2020-03-14,VT,5
2020-03-14,VA,30
2020-03-14,UT,6
2020-03-14,TX,22
2020-03-14,TN,32
2020-03-14,SD,9
2020-03-14,SC,13
2020-03-14,RI,19
2020-03-14,PA,47
2020-03-14,OR,30
2020-03-14,OK,4
2020-03-14,OH,13
2020-03-14,NY,517
2020-03-14,NV,34
2020-03-14,NM,13
2020-03-14,NJ,78
2020-03-14,NH,7
2020-03-14,NE,14
2020-03-14,ND,1
2020-03-14,NC,23
2020-03-14,MT,5
2020-03-14,MS,6
2020-03-14,MO,4
2020-03-14,MN,90
2020-03-14,MI,1728
2020-03-14,ME,3
2020-03-14,MD,26
2020-03-14,MA,38
2020-03-14,LA,51
2020-03-14,KY,14
2020-03-14,KS,6
2020-03-14,IN,15
2020-03-14,IL,46
2020-03-14,ID,2
2020-03-14,IA,17
2020-03-14,HI,2
2020-03-14,GA,66
2020-03-14,FL,51
2020-03-14,DE,6
2020-03-14,DC,10
2020-03-14,CT,11
2020-03-14,CO,131
2020-03-14,CA,252
2020-03-14,AZ,12
2020-03-14,AR,12
2020-03-14,AL,6
2020-03-15,WY,3
2020-03-15,WI,37
2020-03-15,WA,1041
2020-03-15,VT,8
2020-03-15,VA,45
2020-03-15,UT,28
2020-03-15,TX,56
2020-03-15,TN,39
2020-03-15,SD,9
2020-03-15,SC,19
2020-03-15,RI,20
2020-03-15,PA,63
2020-03-15,OR,30
2020-03-15,OK,9
2020-03-15,OH,36
2020-03-15,NY,648
2020-03-15,NV,45
2020-03-15,NM,17
2020-03-15,NJ,98
2020-03-15,NH,13
2020-03-15,NE,17
2020-03-15,ND,1
2020-03-15,NC,32
2020-03-15,MT,7
2020-03-15,MS,10
2020-03-15,MO,5
2020-03-15,MN,128
2020-03-15,MI,2188
2020-03-15,ME,3
2020-03-15,MD,31
2020-03-15,MA,64
2020-03-15,LA,90
2020-03-15,KY,16
2020-03-15,KS,8
2020-03-15,IN,19
2020-03-15,IL,64
2020-03-15,ID,5
2020-03-15,IA,18
2020-03-15,HI,2
2020-03-15,GA,99
2020-03-15,FL,91
2020-03-15,DE,6
2020-03-15,DC,16
2020-03-15,CT,20
2020-03-15,CO,131
2020-03-15,CA,293
2020-03-15,AZ,12
2020-03-15,AR,16
2020-03-15,AL,12
2020-03-16,WY,3
2020-03-16,WI,56
2020-03-16,WA,1197
2020-03-16,VT,12
2020-03-16,VI,1
2020-03-16,VA,51
2020-03-16,UT,39
2020-03-16,TX,56
2020-03-16,TN,52
2020-03-16,SD,10
2020-03-16,SC,28
2020-03-16,RI,22
2020-03-16,PR,5
2020-03-16,PA,76
2020-03-16,OR,36
2020-03-16,OK,10
2020-03-16,OH,50
2020-03-16,NY,942
2020-03-16,NV,63
2020-03-16,NM,23
2020-03-16,NJ,178
2020-03-16,NH,13
2020-03-16,NE,18
2020-03-16,ND,1
2020-03-16,NC,33
2020-03-16,MT,7
2020-03-16,MS,12
2020-03-16,MO,6
2020-03-16,MN,179
2020-03-16,MI,2895
2020-03-16,ME,17
2020-03-16,MD,37
2020-03-16,MA,97
2020-03-16,LA,115
2020-03-16,KY,21
2020-03-16,KS,11
2020-03-16,IN,24
2020-03-16,IL,93
2020-03-16,ID,5
2020-03-16,IA,22
2020-03-16,HI,7
2020-03-16,GU,3
2020-03-16,GA,121
2020-03-16,FL,122
2020-03-16,DE,8
2020-03-16,DC,17
2020-03-16,CT,26
2020-03-16,CO,160
2020-03-16,CA,335
2020-03-16,AZ,18
2020-03-16,AR,22
2020-03-16,AL,28
2020-03-17,WY,10
2020-03-17,WI,83
2020-03-17,WA,1305
2020-03-17,VT,17
2020-03-17,VI,2
2020-03-17,VA,67
2020-03-17,UT,51
2020-03-17,TX,63
2020-03-17,TN,73
2020-03-17,SD,11
2020-03-17,SC,33
2020-03-17,RI,33
2020-03-17,PR,5
2020-03-17,PA,96
2020-03-17,OR,39
2020-03-17,OK,17
2020-03-17,OH,67
2020-03-17,NY,1374
2020-03-17,NV,73
2020-03-17,NM,28
2020-03-17,NJ,267
2020-03-17,NH,17
2020-03-17,NE,21
2020-03-17,ND,1
2020-03-17,NC,40
2020-03-17,MT,8
2020-03-17,MS,21
2020-03-17,MO,8
2020-03-17,MN,246
2020-03-17,MI,3659
2020-03-17,ME,32
2020-03-17,MD,57
2020-03-17,MA,118
2020-03-17,LA,137
2020-03-17,KY,22
2020-03-17,KS,15
2020-03-17,IN,30
2020-03-17,IL,159
2020-03-17,ID,7
2020-03-17,IA,23
2020-03-17,HI,10
2020-03-17,GU,5
2020-03-17,GA,146
2020-03-17,FL,149
2020-03-17,DE,16
2020-03-17,DC,22
2020-03-17,CT,41
2020-03-17,CO,183
2020-03-17,CA,483
2020-03-17,AZ,20
2020-03-17,AR,22
2020-03-17,AL,36
2020-03-17,AK,3
2020-03-18,WY,15
2020-03-18,WV,1
2020-03-18,WI,121
2020-03-18,WA,1605
2020-03-18,VT,19
2020-03-18,VI,2
2020-03-18,VA,77
2020-03-18,UT,63
2020-03-18,TX,82
2020-03-18,TN,98
2020-03-18,SD,11
2020-03-18,SC,60
2020-03-18,RI,44
2020-03-18,PR,5
2020-03-18,PA,133
2020-03-18,OR,47
2020-03-18,OK,29
2020-03-18,OH,88
2020-03-18,NY,2383
2020-03-18,NV,78
2020-03-18,NM,35
2020-03-18,NJ,429
2020-03-18,NH,26
2020-03-18,NE,24
2020-03-18,ND,6
2020-03-18,NC,63
2020-03-18,MT,10
2020-03-18,MS,34
2020-03-18,MO,13
2020-03-18,MN,269
2020-03-18,MI,4531
2020-03-18,ME,43
2020-03-18,MD,85
2020-03-18,MA,156
2020-03-18,LA,240
2020-03-18,KY,26
2020-03-18,KS,16
2020-03-18,IN,39
2020-03-18,IL,288
2020-03-18,ID,9
2020-03-18,IA,29
2020-03-18,HI,14
2020-03-18,GU,8
2020-03-18,GA,197
2020-03-18,FL,211
2020-03-18,DE,25
2020-03-18,DC,31
2020-03-18,CT,68
2020-03-18,CO,216
2020-03-18,CA,611
2020-03-18,AZ,28
2020-03-18,AR,33
2020-03-18,AL,46
2020-03-18,AK,8
2020-03-19,WY,18
2020-03-19,WV,2
2020-03-19,WI,174
2020-03-19,WA,1873
2020-03-19,VT,21
2020-03-19,VI,3
2020-03-19,VA,94
2020-03-19,UT,78
2020-03-19,TX,108
2020-03-19,TN,154
2020-03-19,SD,11
2020-03-19,SC,60
2020-03-19,RI,61
2020-03-19,PR,5
2020-03-19,PA,185
2020-03-19,OR,75
2020-03-19,OK,44
2020-03-19,OH,119
2020-03-19,NY,4152
2020-03-19,NV,101
2020-03-19,NM,43
2020-03-19,NJ,742
2020-03-19,NH,39
2020-03-19,NE,27
2020-03-19,ND,15
2020-03-19,NC,97
2020-03-19,MT,12
2020-03-19,MS,50
2020-03-19,MO,24
2020-03-19,MN,287
2020-03-19,MI,5276
2020-03-19,ME,53
2020-03-19,MD,107
2020-03-19,MA,229
2020-03-19,LA,347
2020-03-19,KY,35
2020-03-19,KS,34
2020-03-19,IN,56
2020-03-19,IL,422
2020-03-19,ID,11
2020-03-19,IA,38
2020-03-19,HI,16
2020-03-19,GU,12
2020-03-19,GA,287
2020-03-19,FL,310
2020-03-19,DE,30
2020-03-19,DC,39
2020-03-19,CT,96
2020-03-19,CO,277
2020-03-19,CA,924
2020-03-19,AZ,44
2020-03-19,AR,46
2020-03-19,AL,68
2020-03-19,AK,11
2020-03-20,WY,19
2020-03-20,WV,7
2020-03-20,WI,235
2020-03-20,WA,2163
2020-03-20,VT,28
2020-03-20,VI,3
2020-03-20,VA,114
2020-03-20,UT,112
2020-03-20,TX,175
2020-03-20,TN,228
2020-03-20,SD,14
2020-03-20,SC,81
2020-03-20,RI,74
2020-03-20,PR,14
2020-03-20,PA,268
2020-03-20,OR,88
2020-03-20,OK,49
2020-03-20,OH,169
2020-03-20,NY,7102
2020-03-20,NV,109
2020-03-20,NM,57
2020-03-20,NJ,890
2020-03-20,NH,44
2020-03-20,NE,32
2020-03-20,ND,20
2020-03-20,NC,137
2020-03-20,MT,16
2020-03-20,MS,80
2020-03-20,MO,47
2020-03-20,MN,303
2020-03-20,MI,6219
2020-03-20,ME,57
2020-03-20,MD,149
2020-03-20,MA,314
2020-03-20,LA,473
2020-03-20,KY,47
2020-03-20,KS,44
2020-03-20,IN,79
2020-03-20,IL,585
2020-03-20,ID,23
2020-03-20,IA,45
2020-03-20,HI,26
2020-03-20,GU,14
2020-03-20,GA,420
2020-03-20,FL,386
2020-03-20,DE,38
2020-03-20,DC,71
2020-03-20,CT,194
2020-03-20,CO,363
2020-03-20,CA,1063
2020-03-20,AZ,65
2020-03-20,AR,96
2020-03-20,AL,81
2020-03-20,AK,14
2020-03-21,WY,23
2020-03-21,WV,11
2020-03-21,WI,315
2020-03-21,WA,2497
2020-03-21,VT,44
2020-03-21,VI,6
2020-03-21,VA,152
2020-03-21,UT,136
2020-03-21,TX,235
2020-03-21,TN,371
2020-03-21,SD,14
2020-03-21,SC,152
2020-03-21,RI,88
2020-03-21,PR,21
2020-03-21,PA,371
2020-03-21,OR,114
2020-03-21,OK,53
2020-03-21,OH,247
2020-03-21,NY,10356
2020-03-21,NV,124
2020-03-21,NM,57
2020-03-21,NJ,1327
2020-03-21,NH,55
2020-03-21,NE,38
2020-03-21,ND,28
2020-03-21,NC,184
2020-03-21,MT,20
2020-03-21,MS,140
2020-03-21,MO,73
2020-03-21,MN,327
2020-03-21,MI,7023
2020-03-21,ME,73
2020-03-21,MD,190
2020-03-21,MA,426
2020-03-21,LA,580
2020-03-21,KY,54
2020-03-21,KS,55
2020-03-21,IN,126
2020-03-21,IL,753
2020-03-21,ID,31
2020-03-21,IA,68
2020-03-21,HI,37
2020-03-21,GU,15
2020-03-21,GA,507
2020-03-21,FL,528
2020-03-21,DE,45
2020-03-21,DC,77
2020-03-21,CT,194
2020-03-21,CO,475
2020-03-21,CA,1279
2020-03-21,AZ,104
2020-03-21,AR,118
2020-03-21,AL,124
2020-03-21,AK,15
2020-03-22,WY,24
2020-03-22,WV,12
2020-03-22,WI,425
2020-03-22,WA,2801
2020-03-22,VT,52
2020-03-22,VI,6
2020-03-22,VA,219
2020-03-22,UT,181
2020-03-22,TX,263
2020-03-22,TN,505
2020-03-22,SD,21
2020-03-22,SC,195
2020-03-22,RI,113
2020-03-22,PR,23
2020-03-22,PA,479
2020-03-22,OR,114
2020-03-22,OK,67
2020-03-22,OH,351
2020-03-22,NY,15168
2020-03-22,NV,154
2020-03-22,NM,65
2020-03-22,NJ,1914
2020-03-22,NH,65
2020-03-22,NE,48
2020-03-22,ND,28
2020-03-22,NC,255
2020-03-22,MT,31
2020-03-22,MS,207
2020-03-22,MO,90
2020-03-22,MN,349
2020-03-22,MI,7822
2020-03-22,ME,89
2020-03-22,MD,244
2020-03-22,MA,547
2020-03-22,LA,837
2020-03-22,KY,99
2020-03-22,KS,64
2020-03-22,IN,201
2020-03-22,IL,1049
2020-03-22,ID,42
2020-03-22,IA,90
2020-03-22,HI,48
2020-03-22,GU,27
2020-03-22,GA,600
2020-03-22,FL,731
2020-03-22,DE,56
2020-03-22,DC,98
2020-03-22,CT,223
2020-03-22,CO,591
2020-03-22,CA,1536
2020-03-22,AZ,152
2020-03-22,AR,165
2020-03-22,AL,138
2020-03-22,AK,25
2020-03-23,WY,26
2020-03-23,WV,16
2020-03-23,WI,466
2020-03-23,WA,2998
2020-03-23,VT,76
2020-03-23,VI,17
2020-03-23,VA,254
2020-03-23,UT,257
2020-03-23,TX,287
2020-03-23,TN,615
2020-03-23,SD,28
2020-03-23,SC,298
2020-03-23,RI,129
2020-03-23,PR,31
2020-03-23,PA,644
2020-03-23,OR,161
2020-03-23,OK,81
2020-03-23,OH,442
2020-03-23,NY,20875
2020-03-23,NV,190
2020-03-23,NM,83
2020-03-23,NJ,2844
2020-03-23,NH,78
2020-03-23,NE,50
2020-03-23,ND,30
2020-03-23,NC,297
2020-03-23,MT,34
2020-03-23,MS,249
2020-03-23,MO,183
2020-03-23,MN,393
2020-03-23,MI,9062
2020-03-23,ME,107
2020-03-23,MD,288
2020-03-23,MA,678
2020-03-23,LA,1172
2020-03-23,KY,104
2020-03-23,KS,82
2020-03-23,IN,259
2020-03-23,IL,1273
2020-03-23,ID,47
2020-03-23,IA,105
2020-03-23,HI,56
2020-03-23,GU,29
2020-03-23,GA,772
2020-03-23,FL,1029
2020-03-23,DE,68
2020-03-23,DC,116
2020-03-23,CT,415
2020-03-23,CO,720
2020-03-23,CA,1733
2020-03-23,AZ,265
2020-03-23,AR,174
2020-03-23,AL,167
2020-03-23,AK,38
2020-03-24,WY,29
2020-03-24,WV,20
2020-03-24,WI,525
2020-03-24,WA,3190
2020-03-24,VT,97
2020-03-24,VI,17
2020-03-24,VA,290
2020-03-24,UT,299
2020-03-24,TX,712
2020-03-24,TN,667
2020-03-24,SD,30
2020-03-24,SC,298
2020-03-24,RI,148
2020-03-24,PR,39
2020-03-24,PA,851
2020-03-24,OR,191
2020-03-24,OK,106
2020-03-24,OH,564
2020-03-24,NY,25665
2020-03-24,NV,278
2020-03-24,NM,100
2020-03-24,NJ,3675
2020-03-24,NH,101
2020-03-24,NE,52
2020-03-24,ND,33
2020-03-24,NC,398
2020-03-24,MT,46
2020-03-24,MS,320
2020-03-24,MO,183
2020-03-24,MN,444
2020-03-24,MI,10155
2020-03-24,ME,125
2020-03-24,MD,349
2020-03-24,MA,1060
2020-03-24,LA,1388
2020-03-24,KY,124
2020-03-24,KS,98
2020-03-24,IN,365
2020-03-24,IL,1535
2020-03-24,ID,50
2020-03-24,IA,124
2020-03-24,HI,77
2020-03-24,GU,32
2020-03-24,GA,1026
2020-03-24,FL,1205
2020-03-24,DE,91
2020-03-24,DC,137
2020-03-24,CT,618
2020-03-24,CO,912
2020-03-24,CA,2102
2020-03-24,AZ,357
2020-03-24,AR,218
2020-03-24,AL,215
2020-03-24,AK,42
2020-03-25,WY,44
2020-03-25,WV,39
2020-03-25,WI,667
2020-03-25,WA,3653
2020-03-25,VT,125
2020-03-25,VI,17
2020-03-25,VA,391
2020-03-25,UT,346
2020-03-25,TX,975
2020-03-25,TN,784
2020-03-25,SD,41
2020-03-25,SC,424
2020-03-25,RI,176
2020-03-25,PR,51
2020-03-25,PA,1127
2020-03-25,OR,209
2020-03-25,OK,164
2020-03-25,OH,704
2020-03-25,NY,30810
2020-03-25,NV,321
2020-03-25,NM,112
2020-03-25,NJ,4402
2020-03-25,NH,108
2020-03-25,NE,61
2020-03-25,ND,39
2020-03-25,NC,504
2020-03-25,MT,53
2020-03-25,MS,377
2020-03-25,MO,356
2020-03-25,MN,502
2020-03-25,MI,11335
2020-03-25,ME,149
2020-03-25,MD,423
2020-03-25,MA,1739
2020-03-25,LA,1795
2020-03-25,KY,157
2020-03-25,KS,126
2020-03-25,IN,477
2020-03-25,IL,1865
2020-03-25,ID,73
2020-03-25,IA,145
2020-03-25,HI,90
2020-03-25,GU,37
2020-03-25,GA,1247
2020-03-25,FL,1488
2020-03-25,DE,115
2020-03-25,DC,183
2020-03-25,CT,875
2020-03-25,CO,1086
2020-03-25,CA,2355
2020-03-25,AZ,450
2020-03-25,AR,280
2020-03-25,AL,283
2020-03-25,AK,49
2020-03-26,WY,53
2020-03-26,WV,51
2020-03-26,WI,806
2020-03-26,WA,4091
2020-03-26,VT,160
2020-03-26,VI,17
2020-03-26,VA,460
2020-03-26,UT,402
2020-03-26,TX,1394
2020-03-26,TN,957
2020-03-26,SD,46
2020-03-26,SC,456
2020-03-26,RI,217
2020-03-26,PR,64
2020-03-26,PA,1687
2020-03-26,OR,209
2020-03-26,OK,248
2020-03-26,OH,867
2020-03-26,NY,37258
2020-03-26,NV,420
2020-03-26,NM,136
2020-03-26,NJ,6876
2020-03-26,NH,137
2020-03-26,NE,73
2020-03-26,ND,52
2020-03-26,NC,636
2020-03-26,MT,71
2020-03-26,MS,485
2020-03-26,MO,502
2020-03-26,MN,565
2020-03-26,MI,12475
2020-03-26,ME,155
2020-03-26,MD,580
2020-03-26,MA,2318
2020-03-26,LA,2305
2020-03-26,KY,198
2020-03-26,KS,168
2020-03-26,IN,645
2020-03-26,IL,2538
2020-03-26,ID,123
2020-03-26,IA,179
2020-03-26,HI,95
2020-03-26,GU,45
2020-03-26,GA,1525
2020-03-26,FL,1985
2020-03-26,DE,130
2020-03-26,DC,231
2020-03-26,CT,1012
2020-03-26,CO,1430
2020-03-26,CA,3006
2020-03-26,AZ,577
2020-03-26,AR,335
2020-03-26,AL,506
2020-03-26,AK,63
2020-03-27,WY,70
2020-03-27,WV,76
2020-03-27,WI,969
2020-03-27,WA,4532
2020-03-27,VT,185
2020-03-27,VI,19
2020-03-27,VA,604
2020-03-27,UT,480
2020-03-27,TX,1731
2020-03-27,TN,1203
2020-03-27,SD,58
2020-03-27,SC,456
2020-03-27,RI,248
2020-03-27,PR,79
2020-03-27,PA,2218
2020-03-27,OR,327
2020-03-27,OK,322
2020-03-27,OH,1137
2020-03-27,NY,44637
2020-03-27,NV,535
2020-03-27,NM,191
2020-03-27,NJ,8825
2020-03-27,NH,158
2020-03-27,NE,85
2020-03-27,ND,61
2020-03-27,NC,763
2020-03-27,MT,108
2020-03-27,MS,579
2020-03-27,MO,669
2020-03-27,MN,640
2020-03-27,MI,13799
2020-03-27,ME,168
2020-03-27,MD,774
2020-03-27,MA,3151
2020-03-27,LA,2746
2020-03-27,KY,248
2020-03-27,KS,202
2020-03-27,IN,981
2020-03-27,IL,3026
2020-03-27,ID,189
2020-03-27,IA,235
2020-03-27,HI,106
2020-03-27,GU,51
2020-03-27,GA,2001
2020-03-27,FL,2520
2020-03-27,DE,163
2020-03-27,DC,267
2020-03-27,CT,1291
2020-03-27,CO,1734
2020-03-27,CA,3879
2020-03-27,AZ,736
2020-03-27,AR,381
2020-03-27,AL,587
2020-03-27,AK,74
2020-03-28,WY,82
2020-03-28,WV,96
2020-03-28,WI,1134
2020-03-28,WA,4967
2020-03-28,VT,213
2020-03-28,VI,22
2020-03-28,VA,739
2020-03-28,UT,602
2020-03-28,TX,2048
2020-03-28,TN,1373
2020-03-28,SD,68
2020-03-28,SC,539
2020-03-28,RI,312
2020-03-28,PR,100
2020-03-28,PA,2751
2020-03-28,OR,414
2020-03-28,OK,377
2020-03-28,OH,1406
2020-03-28,NY,52318
2020-03-28,NV,621
2020-03-28,NM,237
2020-03-28,NJ,11124
2020-03-28,NH,187
2020-03-28,NE,96
2020-03-28,ND,80
2020-03-28,NC,935
2020-03-28,MT,129
2020-03-28,MS,663
2020-03-28,MP,2
2020-03-28,MO,838
2020-03-28,MN,687
2020-03-28,MI,14865
2020-03-28,ME,211
